decade,wb_region,country,iso3,year,d_efw_summary,shock
1990,East Asia & Pacific,New Zealand,NZL,1990,1.2113636959044216,positive
1990,East Asia & Pacific,Philippines,PHL,1995,1.1487865564307675,positive
1990,East Asia & Pacific,Philippines,PHL,1990,1.0390018699582173,positive
1990,Europe & Central Asia,Switzerland,CHE,1995,-0.20610358702034048,negative
1990,Europe & Central Asia,Albania,ALB,1990,-0.48755704822241075,negative
1990,Europe & Central Asia,Latvia,LVA,1995,-0.7392032679162481,negative
1990,Europe & Central Asia,Poland,POL,1995,1.6273219220783295,positive
1990,Europe & Central Asia,Iceland,ISL,1990,1.4522273607909817,positive
1990,Europe & Central Asia,Estonia,EST,1995,1.3700879669558566,positive
1990,Latin America & the Caribbean,Colombia,COL,1990,-0.31541918032519956,negative
1990,Latin America & the Caribbean,Dominican Republic,DOM,1990,-0.6768673819572424,negative
1990,Latin America & the Caribbean,"Venezuela, RB",VEN,1995,-0.7959457283612901,negative
1990,Latin America & the Caribbean,Nicaragua,NIC,1995,2.844999398654855,positive
1990,Latin America & the Caribbean,Argentina,ARG,1995,2.02711039643249,positive
1990,Latin America & the Caribbean,Peru,PER,1995,1.9203767387966106,positive
1990,Middle East & North Africa,Jordan,JOR,1990,-0.3036301670354904,negative
1990,Middle East & North Africa,"Iran, Islamic Rep.",IRN,1995,-0.403756039114298,negative
1990,Middle East & North Africa,Kuwait,KWT,1990,-0.4364895015567063,negative
1990,Middle East & North Africa,Israel,ISR,1990,1.0283994999002335,positive
1990,Middle East & North Africa,Malta,MLT,1995,1.0221944888080552,positive
1990,Middle East & North Africa,Israel,ISR,1995,0.942778694459272,positive
1990,North America,United States,USA,1995,0.13634909673121953,negative
1990,North America,Canada,CAN,1990,0.12337754228546771,negative
1990,North America,Canada,CAN,1995,-0.15458038502174798,negative
1990,North America,United States,USA,1990,0.20198441248275856,positive
1990,North America,United States,USA,1995,0.13634909673121953,positive
1990,North America,Canada,CAN,1990,0.12337754228546771,positive
1990,South Asia,India,IND,1990,0.2234110357004102,negative
1990,South Asia,Nepal,NPL,1990,0.1281306410752947,negative
1990,South Asia,Sri Lanka,LKA,1990,-0.1656969826843211,negative
1990,South Asia,Nepal,NPL,1995,0.7875346719749823,positive
1990,South Asia,Sri Lanka,LKA,1995,0.7478956903105907,positive
1990,South Asia,Bangladesh,BGD,1995,0.7119901646003273,positive
1990,Sub-Saharan Africa,Togo,TGO,1995,-0.7300603082089152,negative
1990,Sub-Saharan Africa,Rwanda,RWA,1995,-0.8269509096591365,negative
1990,Sub-Saharan Africa,Burundi,BDI,1995,-0.9049028201175959,negative
1990,Sub-Saharan Africa,Uganda,UGA,1995,2.0478216669746776,positive
1990,Sub-Saharan Africa,Tanzania,TZA,1995,1.615671457832816,positive
1990,Sub-Saharan Africa,Ghana,GHA,1990,1.3837000353783524,positive
2000,East Asia & Pacific,Fiji,FJI,2000,-0.40053044360272505,negative
2000,East Asia & Pacific,Malaysia,MYS,2000,-0.6733449226126744,negative
2000,East Asia & Pacific,Thailand,THA,2000,-0.7024887798473998,negative
2000,East Asia & Pacific,Lao PDR,LAO,2005,1.6626848439877877,positive
2000,East Asia & Pacific,Mongolia,MNG,2005,0.6983400068485919,positive
2000,East Asia & Pacific,China,CHN,2000,0.5966142248510078,positive
2000,Europe & Central Asia,Portugal,PRT,2005,-0.3000884749668007,negative
2000,Europe & Central Asia,Luxembourg,LUX,2005,-0.3608454693922196,negative
2000,Europe & Central Asia,Switzerland,CHE,2005,-0.4305814254314537,negative
2000,Europe & Central Asia,Romania,ROU,2005,1.7868994024486158,positive
2000,Europe & Central Asia,Kyrgyz Republic,KGZ,2005,1.7668772397573713,positive
2000,Europe & Central Asia,Armenia,ARM,2005,1.7407480482280047,positive
2000,Latin America & the Caribbean,Belize,BLZ,2000,-0.9072228083117917,negative
2000,Latin America & the Caribbean,Argentina,ARG,2005,-1.150291945729128,negative
2000,Latin America & the Caribbean,"Venezuela, RB",VEN,2005,-1.1937359916463643,negative
2000,Latin America & the Caribbean,Peru,PER,2000,1.4421431367343054,positive
2000,Latin America & the Caribbean,Brazil,BRA,2000,1.4246162314219308,positive
2000,Latin America & the Caribbean,"Venezuela, RB",VEN,2000,0.9488721377020859,positive
2000,Middle East & North Africa,Pakistan,PAK,2000,-0.27371306471316625,negative
2000,Middle East & North Africa,Saudi Arabia,SAU,2005,-0.29944743075538227,negative
2000,Middle East & North Africa,Qatar,QAT,2005,-0.4493397963003627,negative
2000,Middle East & North Africa,Jordan,JOR,2000,1.2415561144151281,positive
2000,Middle East & North Africa,"Iran, Islamic Rep.",IRN,2000,1.0234746107781056,positive
2000,Middle East & North Africa,Malta,MLT,2005,0.8708993788927328,positive
2000,North America,United States,USA,2000,0.01976750603295052,negative
2000,North America,Canada,CAN,2005,-0.040342183293002876,negative
2000,North America,United States,USA,2005,-0.22836671443329948,negative
2000,North America,Canada,CAN,2000,0.347054299182294,positive
2000,North America,United States,USA,2000,0.01976750603295052,positive
2000,North America,Canada,CAN,2005,-0.040342183293002876,positive
2000,South Asia,India,IND,2005,0.1082132350775753,negative
2000,South Asia,Bangladesh,BGD,2005,-0.11960104886427558,negative
2000,South Asia,Sri Lanka,LKA,2005,-0.4586957970714911,negative
2000,South Asia,Bangladesh,BGD,2000,0.8046481180770595,positive
2000,South Asia,Nepal,NPL,2000,0.46833920315680366,positive
2000,South Asia,India,IND,2000,0.4591574399616585,positive
2000,Sub-Saharan Africa,"Congo, Rep.",COG,2000,-0.8643666193830164,negative
2000,Sub-Saharan Africa,Zimbabwe,ZWE,2005,-1.1230686732494353,negative
2000,Sub-Saharan Africa,Zimbabwe,ZWE,2000,-1.6999958209116839,negative
2000,Sub-Saharan Africa,Uganda,UGA,2000,1.4821352398618686,positive
2000,Sub-Saharan Africa,Zambia,ZMB,2000,1.4808287090953955,positive
2000,Sub-Saharan Africa,Nigeria,NGA,2000,1.2662303962133756,positive
2010,East Asia & Pacific,Papua New Guinea,PNG,2015,-0.24036583356532049,negative
2010,East Asia & Pacific,Timor-Leste,TLS,2010,-0.2440776808424241,negative
2010,East Asia & Pacific,Cambodia,KHM,2010,-0.38745961451643307,negative
2010,East Asia & Pacific,Myanmar,MMR,2015,1.0650649890478396,positive
2010,East Asia & Pacific,Malaysia,MYS,2015,0.8132270916334656,positive
2010,East Asia & Pacific,Cambodia,KHM,2015,0.4472409018987342,positive
2010,Europe & Central Asia,Azerbaijan,AZE,2010,-0.45583113553113463,negative
2010,Europe & Central Asia,Belarus,BLR,2015,-0.9816203176497034,negative
2010,Europe & Central Asia,Iceland,ISL,2010,-1.4018683203155202,negative
2010,Europe & Central Asia,Belarus,BLR,2010,1.1310865367540712,positive
2010,Europe & Central Asia,Serbia,SRB,2010,0.7674502703367372,positive
2010,Europe & Central Asia,Montenegro,MNE,2010,0.751022007642713,positive
2010,Latin America & the Caribbean,Belize,BLZ,2010,-0.5849531939747541,negative
2010,Latin America & the Caribbean,Argentina,ARG,2015,-0.6585300668151461,negative
2010,Latin America & the Caribbean,"Venezuela, RB",VEN,2010,-1.0534434911242592,negative
2010,Latin America & the Caribbean,Dominican Republic,DOM,2010,0.7569161431803764,positive
2010,Latin America & the Caribbean,Jamaica,JAM,2015,0.5492637215528786,positive
2010,Latin America & the Caribbean,Costa Rica,CRI,2015,0.44168797953964134,positive
2010,Middle East & North Africa,Syrian Arab Republic,SYR,2015,-0.5827874695293991,negative
2010,Middle East & North Africa,"Egypt, Arab Rep.",EGY,2015,-0.7784675834970542,negative
2010,Middle East & North Africa,Saudi Arabia,SAU,2010,-0.9089749220748393,negative
2010,Middle East & North Africa,Iraq,IRQ,2010,1.2431520164471084,positive
2010,Middle East & North Africa,Iraq,IRQ,2015,0.4860644159742966,positive
2010,Middle East & North Africa,Morocco,MAR,2010,0.2877193761940733,positive
2010,North America,Canada,CAN,2015,0.17977301387137512,negative
2010,North America,Canada,CAN,2010,-0.2896343001261039,negative
2010,North America,United States,USA,2010,-0.3096177558569675,negative
2010,North America,United States,USA,2015,0.17977805178791684,positive
2010,North America,Canada,CAN,2015,0.17977301387137512,positive
2010,North America,Canada,CAN,2010,-0.2896343001261039,positive
2010,South Asia,Bangladesh,BGD,2015,-0.0898458904109587,negative
2010,South Asia,Nepal,NPL,2010,-0.24806681551017107,negative
2010,South Asia,India,IND,2010,-0.3594537177541728,negative
2010,South Asia,Bhutan,BTN,2015,0.44182261712566895,positive
2010,South Asia,Nepal,NPL,2015,0.43693573640953254,positive
2010,South Asia,Sri Lanka,LKA,2015,0.3994745108523139,positive
2010,Sub-Saharan Africa,Central African Republic,CAF,2015,-0.6716903988504983,negative
2010,Sub-Saharan Africa,Eswatini,SWZ,2010,-1.391857024589772,negative
2010,Sub-Saharan Africa,Guinea,GIN,2010,-1.9383850673060752,negative
2010,Sub-Saharan Africa,Zimbabwe,ZWE,2010,1.2069132653061234,positive
2010,Sub-Saharan Africa,Zimbabwe,ZWE,2015,0.9974489795918355,positive
2010,Sub-Saharan Africa,Angola,AGO,2010,0.967648212804181,positive
2020,East Asia & Pacific,New Zealand,NZL,2020,-0.3595683453237424,negative
2020,East Asia & Pacific,"Hong Kong SAR, China",HKG,2020,-0.39953271028037385,negative
2020,East Asia & Pacific,Philippines,PHL,2020,-0.4293909348441911,negative
2020,East Asia & Pacific,Myanmar,MMR,2020,0.43901565995525793,positive
2020,East Asia & Pacific,Vietnam,VNM,2020,0.3893729903536949,positive
2020,East Asia & Pacific,Thailand,THA,2020,0.22967651195499172,positive
2020,Europe & Central Asia,Germany,DEU,2020,-0.43943949044586006,negative
2020,Europe & Central Asia,Türkiye,TUR,2020,-0.5190458715596327,negative
2020,Europe & Central Asia,United Kingdom,GBR,2020,-0.5293282636248406,negative
2020,Europe & Central Asia,Belarus,BLR,2020,1.4757468179801352,positive
2020,Europe & Central Asia,Ukraine,UKR,2020,0.9681523809523807,positive
2020,Europe & Central Asia,Iceland,ISL,2020,0.3795077720207267,positive
2020,Latin America & the Caribbean,Argentina,ARG,2020,-0.4390200445434296,negative
2020,Latin America & the Caribbean,Guyana,GUY,2020,-0.5789416058394155,negative
2020,Latin America & the Caribbean,Suriname,SUR,2020,-0.7578971773024987,negative
2020,Latin America & the Caribbean,Brazil,BRA,2020,0.21966565349544176,positive
2020,Latin America & the Caribbean,"Venezuela, RB",VEN,2020,0.18939102564102495,positive
2020,Latin America & the Caribbean,Trinidad and Tobago,TTO,2020,0.11981981981982148,positive
2020,Middle East & North Africa,Syrian Arab Republic,SYR,2020,-0.5321659599458779,negative
2020,Middle East & North Africa,"Iran, Islamic Rep.",IRN,2020,-0.5686986301369865,negative
2020,Middle East & North Africa,Lebanon,LBN,2020,-1.4771809523809507,negative
2020,Middle East & North Africa,Saudi Arabia,SAU,2020,0.557807008117714,positive
2020,Middle East & North Africa,Iraq,IRQ,2020,0.4249530209086947,positive
2020,Middle East & North Africa,United Arab Emirates,ARE,2020,0.35950413223140565,positive
2020,North America,United States,USA,2020,-0.29963008631319354,negative
2020,North America,Canada,CAN,2020,-0.33957124842370856,negative
2020,North America,United States,USA,2020,-0.29963008631319354,positive
2020,North America,Canada,CAN,2020,-0.33957124842370856,positive
2020,South Asia,Nepal,NPL,2020,-0.10983206106870291,negative
2020,South Asia,Bhutan,BTN,2020,-0.2895766423357662,negative
2020,South Asia,Sri Lanka,LKA,2020,-0.32943298969072377,negative
2020,South Asia,India,IND,2020,0.3294992412746591,positive
2020,South Asia,Bangladesh,BGD,2020,-0.03993150684931557,positive
2020,South Asia,Nepal,NPL,2020,-0.10983206106870291,positive
2020,Sub-Saharan Africa,Mauritius,MUS,2020,-0.4094702842377256,negative
2020,Sub-Saharan Africa,Sudan,SDN,2020,-0.44440779861875335,negative
2020,Sub-Saharan Africa,Zimbabwe,ZWE,2020,-1.5659948979591838,negative
2020,Sub-Saharan Africa,Guinea,GIN,2020,0.779019700365696,positive
2020,Sub-Saharan Africa,Central African Republic,CAF,2020,0.6329126073196241,positive
2020,Sub-Saharan Africa,Benin,BEN,2020,0.3694164037854888,positive
